id,ref_type,start_offset,end_offset,duration
54,trans,241382,250691,9309
54,trans,-635,8655,9290
54,trans,283291,287945,4654
54,trans,232091,236745,4654
55,mux,121855,191673,69818
55,mux,982,117200,116218
55,mux,205636,214945,9309
55,trans,121855,191673,69818
55,trans,836,117200,116364
55,trans,205636,214945,9309
56,mux,14982,280291,265309
56,mux,1364,6018,4654
56,mux,10673,15327,4654
56,trans,1000,280291,279291
57,mux,262545,318400,55855
57,mux,239273,257891,18618
57,mux,206691,234618,27927
57,mux,132218,202036,69818
57,mux,81018,127564,46546
57,mux,20509,76364,55855
57,mux,301109,305764,4655
57,trans,262545,318400,55855
57,trans,239273,257891,18618
57,trans,206691,234618,27927
57,trans,132218,202036,69818
57,trans,20509,127564,107055
57,trans,301109,305764,4655
58,mux,909,14873,13964
58,mux,14618,191491,176873
58,mux,214764,377673,162909
58,mux,196145,210109,13964
58,trans,47200,191491,144291
58,trans,196145,377673,181528
58,trans,655,42545,41890
59,mux,94000,117273,23273
59,mux,224327,326727,102400
59,mux,196400,219673,23273
59,mux,295418,300073,4655
59,mux,70727,89345,18618
59,mux,927,66073,65146
59,mux,121927,187091,65164
59,trans,94000,117273,23273
59,trans,196400,219673,23273
59,trans,224327,326727,102400
59,trans,70727,89345,18618
59,trans,909,66073,65164
59,trans,295418,300073,4655
59,trans,121927,182436,60509
60,mux,473,163345,162872
60,trans,436,163345,162909
61,mux,198673,263836,65163
61,mux,8218,12873,4655
61,mux,59036,166091,107055
61,mux,277800,291764,13964
61,mux,12491,40418,27927
61,mux,170745,194018,23273
61,mux,208836,222800,13964
61,mux,132655,146618,13963
61,trans,180055,263855,83800
61,trans,59036,166127,107091
61,trans,7855,40436,32581
61,trans,273164,291764,18600
61,trans,170764,175418,4654
61,trans,132673,146636,13963
61,trans,208836,222800,13964
62,mux,74000,218291,144291
62,mux,46073,55382,9309
62,mux,283455,311382,27927
62,mux,-363,41418,41781
62,mux,274127,278782,4655
62,mux,232236,236891,4655
62,mux,60036,69345,9309
62,mux,316036,325345,9309
62,mux,241545,260182,18637
62,trans,78655,157782,79127
62,trans,162436,218291,55855
62,trans,-472,41418,41890
62,trans,46073,55382,9309
62,trans,283455,311382,27927
62,trans,274145,278800,4655
62,trans,232255,236909,4654
62,trans,60036,69345,9309
62,trans,316036,325345,9309
62,trans,241564,264836,23272
63,mux,23200,27855,4655
63,mux,53927,137709,83782
63,mux,142364,193564,51200
63,mux,198218,314582,116364
63,mux,52055,61364,9309
63,mux,-1890,49273,51163
63,trans,23200,27855,4655
63,trans,142364,193545,51181
63,trans,-1926,137691,139617
63,trans,52055,61364,9309
63,trans,198200,314564,116364
64,mux,178255,220145,41890
64,mux,313236,331855,18619
64,mux,15345,29309,13964
64,mux,303927,308582,4655
64,mux,38618,61891,23273
64,mux,336509,355127,18618
64,mux,1709,15673,13964
64,mux,154982,159636,4654
64,mux,141018,150327,9309
64,mux,238764,271345,32581
64,mux,224800,229455,4655
64,mux,359782,373745,13963
64,mux,267855,272509,4654
64,mux,302782,307436,4654
64,trans,38618,57236,18618
64,trans,303927,308582,4655
64,trans,313236,331855,18619
64,trans,1382,29309,27927
64,trans,178255,220145,41890
64,trans,224800,229455,4655
64,trans,238764,271345,32581
64,trans,336509,373745,37236
64,trans,141018,150327,9309
64,trans,154982,159636,4654
64,trans,267836,272491,4655
64,trans,302764,307418,4654
64,trans,276000,280655,4655
65,mux,284709,359182,74473
65,mux,163691,173000,9309
65,mux,177673,191618,13945
65,mux,112491,140418,27927
65,mux,196273,214891,18618
65,mux,145073,159055,13982
65,mux,70600,103200,32600
65,mux,228855,270745,41890
65,mux,19400,42709,23309
65,mux,61291,65945,4654
65,mux,782,14745,13963
65,trans,284727,359200,74473
65,trans,177673,191636,13963
65,trans,19418,28709,9291
65,trans,238182,270764,32582
65,trans,112509,135782,23273
65,trans,145091,173018,27927
65,trans,196291,214909,18618
65,trans,61309,103200,41891
65,trans,33382,38036,4654
65,trans,800,5455,4655
65,trans,10091,14745,4654
65,trans,224200,233509,9309
66,mux,74036,88000,13964
66,mux,13545,60091,46546
66,mux,92655,134545,41890
66,mux,-254,9036,9290
66,mux,64745,69400,4655
66,mux,132909,137564,4655
66,trans,13545,60091,46546
66,trans,64745,88018,23273
66,trans,92673,134564,41891
66,trans,-417,8873,9290
66,trans,132909,137564,4655
67,mux,182145,321782,139637
67,mux,636,19236,18600
67,mux,89055,154218,65163
67,mux,51818,84400,32582
67,mux,33200,47164,13964
67,mux,163527,168182,4655
67,trans,182145,321782,139637
67,trans,618,19236,18618
67,trans,89055,158873,69818
67,trans,51818,84400,32582
67,trans,33200,47164,13964
67,trans,163527,168182,4655
68,mux,873,14836,13963
68,mux,223982,289145,65163
68,mux,293800,321727,27927
68,mux,14527,19182,4655
68,mux,172782,186745,13963
68,mux,334127,338782,4655
68,mux,56418,70382,13964
68,mux,331036,354309,23273
68,mux,23836,51764,27928
68,mux,144855,158818,13963
68,mux,358964,363618,4654
68,mux,154636,159291,4655
